nID;nID_Service;nID_City;nID_Region;nID_ServiceType;oData;sURL;bHidden;nID_Subject_Operator;bTest;sNote;asAuth;nID_Place;nID_Server
942;26;485;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;485;0
943;24;485;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;485;0
944;184;485;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;485;0
945;185;485;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;485;0
946;173;485;;4;"{""processDefinitionId"":""dnepr_dms-227ID:1:1""}";;false;205;false;;BankID,EDS;485;0
947;175;485;;4;"{""processDefinitionId"":""dnepr_dms-257ID:1:1""}";;false;205;false;;BankID,EDS;485;0
948;1431;485;;4;"{""processDefinitionId"":""dnepr_dms-272ID:1:1""}";;false;205;false;;BankID,EDS;485;0
949;174;485;;4;"{""processDefinitionId"":""dnepr_dms-272kr:1:1""}";;false;205;true;;BankID,EDS;485;0
950;25;485;;4;"{""processDefinitionId"":""dnepr_dms-280ID:1:1""}";;false;205;false;;BankID,EDS;485;0
951;25;99;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;99;0
952;173;99;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;99;0
953;175;99;;4;"{""processDefinitionId"":""demo_1:1:1""}";;false;225;true;;BankID,EDS;99;0
954;659;125;;4;"{""processDefinitionId"":""kuznetsovsk_mvk_2:1:1""}";;false;225;false;;BankID,EDS;125;0
955;103;1;;4;"{""processDefinitionId"":""dnepr_mvk_381:1:1""}";;false;225;false;;BankID,EDS;1;0
956;1403;;13;4;"{""processDefinitionId"":""ternopol_oda_239:1:1""}";;false;239;false;;BankID,EDS;50013;0
957;659;10;;4;"{""processDefinitionId"":""kuznetsovsk_mvk_2:1:1""}";;false;212;false;;BankID,EDS;10;0
958;1428;1;;4;"{""processDefinitionId"":""dnepr_mvk_383:1:1""}";;false;1;true;;BankID,EDS;1;0
959;34;;;4;"{""processDefinitionId"":""infrastr_384:1:1""}";;false;1;false;;BankID,EDS;;0
960;1417;1;;4;"{""processDefinitionId"":""dnepr_mvk_386:1:1""}";;false;1;true;;BankID,EDS;1;0
961;11;474;;4;"{""processDefinitionId"":""rda_360:1:1""}";;false;212;true;;BankID,EDS;474;0
962;11;482;;4;"{""processDefinitionId"":""rda_360:1:1""}";;false;212;false;;BankID,EDS;482;0
963;11;483;;4;"{""processDefinitionId"":""rda_360:1:1""}";;false;212;false;;BankID,EDS;483;0
964;676;1;;4;"{""processDefinitionId"":""dnepr_mvk_291_common:1:1""}";;false;1;false;;BankID,EDS;1;0
965;161;;3;4;"{""processDefinitionId"":""ternopol_oda_209:1:1""}";;false;209;true;;BankID,EDS;50003;0
966;11;486;;4;"{""processDefinitionId"":""rda_360:1:1""}";;false;212;false;;BankID,EDS;486;0
967;1429;29;;4;"{""processDefinitionId"":""dnepr_cnap_268:1:1""}";;false;225;true;;BankID,EDS;29;0
968;29;92;;4;"{""processDefinitionId"":""dnepr_dms-89:1:1""}";;false;225;false;;BankID,EDS;92;0
969;26;92;;4;"{""processDefinitionId"":""dnepr_dms-89s:1:1""}";;false;225;false;;BankID,EDS;92;0
970;24;92;;4;"{""processDefinitionId"":""dnepr_dms-294:1:1""}";;false;225;false;;BankID,EDS;92;0
971;184;92;;4;"{""processDefinitionId"":""dnepr_dms-212:1:1""}";;false;225;false;;BankID,EDS;92;0
972;185;92;;4;"{""processDefinitionId"":""dnepr_dms-212s:1:1""}";;false;225;false;;BankID,EDS;92;0
973;173;92;;4;"{""processDefinitionId"":""dnepr_dms-227:1:1""}";;false;225;false;;BankID,EDS;92;0
974;175;92;;4;"{""processDefinitionId"":""dnepr_dms-257:1:1""}";;false;225;false;;BankID,EDS;92;0
975;1431;92;;4;"{""processDefinitionId"":""dnepr_dms-272:1:1""}";;false;225;false;;BankID,EDS;92;0
976;174;92;;4;"{""processDefinitionId"":""dnepr_dms-272kr:1:1""}";;false;225;true;;BankID,EDS;92;0
977;178;92;;4;"{""processDefinitionId"":""dnepr_dms-280:1:1""}";;false;225;false;;BankID,EDS;92;0
978;659;92;;4;"{""processDefinitionId"":""kuznetsovsk_mvk_2:1:1""}";;false;212;false;;BankID,EDS;92;0
979;774;154;;4;"{""processDefinitionId"":""dnepr_soc_144:1:1""}";;false;14;false;;BankID,EDS;154;0
980;765;154;;4;"{""processDefinitionId"":""dnepr_soc_help_148:1:1""}";;false;14;false;;BankID,EDS;154;0
